"Group","Sci1","Sci2","nm","tot_area","BL_area","PA_area","BL_perc","PA_perc"
"Amphibians","Ensatina","eschscholtzii","Amphibians_Ensatina_eschscholtzii",11879552319.9421,72871748.3123835,752095407.020801,0.613421670697593,6.33100799394827
"Amphibians","Eurycea","bislineata","Amphibians_Eurycea_bislineata",618648881135.185,2038573114.40537,45911146869.353,0.329520213576513,7.42119613715435
"Amphibians","Gyrinophilus","porphyriticus","Amphibians_Gyrinophilus_porphyriticus",17620266269.9707,756170.812205808,460815916.890675,0.00429148345785507,2.61526080156927
"Amphibians","Hemidactylium","scutatum","Amphibians_Hemidactylium_scutatum",164424340528.353,2467225398.66696,12977463143.2608,1.50052321374007,7.89266546641431
"Amphibians","Hyla","chrysoscelis","Amphibians_Hyla_chrysoscelis",381568845692.311,5179161371.14633,35567578330.9096,1.3573333959562,9.32140522803334
"Amphibians","Hyla","versicolor","Amphibians_Hyla_versicolor",420803978559.491,5327827948.8677,36882928260.2647,1.26610683841585,8.76487156478972
"Amphibians","Lithobates","catesbeianus","Amphibians_Lithobates_catesbeianus",356353883645.74,3107394241.72224,26334167760.3844,0.871996738166989,7.38989217430947
"Amphibians","Lithobates","clamitans","Amphibians_Lithobates_clamitans",807718107865.12,4850445743.7675,62416838421.1878,0.600512195596025,7.72755220087386
"Amphibians","Lithobates","palustris","Amphibians_Lithobates_palustris",376994878050.579,1855374993.77503,24882638008.2071,0.492148594529739,6.60025890454373
"Amphibians","Lithobates","pipiens","Amphibians_Lithobates_pipiens",2279077719654.56,21290076540.5908,193107856242.676,0.934153160157163,8.47307025018635
"Amphibians","Lithobates","septentrionalis","Amphibians_Lithobates_septentrionalis",1529468542147.26,8686863280.14201,115858091970.445,0.567966129459995,7.5750555685041
"Amphibians","Lithobates","sylvaticus","Amphibians_Lithobates_sylvaticus",6107215521788.97,121906005225.803,506905823547.362,1.99609797281386,8.30011355811585
"Amphibians","Necturus","maculosus","Amphibians_Necturus_maculosus",319412599554.468,3705077109.49906,26301219697.7532,1.15996586066645,8.23424615511079
"Amphibians","Notophthalmus","viridescens","Amphibians_Notophthalmus_viridescens",782676926291.222,5017628203.3121,59886805551.45,0.641085489397079,7.65153584317715
"Amphibians","Plethodon","cinereus","Amphibians_Plethodon_cinereus",729509048400.237,3990753652.97392,56733125030.599,0.547046491297862,7.77689120580626
"Amphibians","Plethodon","idahoensis","Amphibians_Plethodon_idahoensis",943474467.474388,20964490.9215528,48784884.018189,2.22205175066085,5.17076886550863
"Amphibians","Plethodon","vehiculum","Amphibians_Plethodon_vehiculum",52453417353.9202,214166662.727856,7027984718.58383,0.408298779244076,13.3985259171271
"Amphibians","Pseudacris","crucifer","Amphibians_Pseudacris_crucifer",1506339753487.62,9601417584.79564,131871664755.192,0.637400530827491,8.75444364061092
"Amphibians","Pseudacris","maculata","Amphibians_Pseudacris_maculata",2782283937431.64,28934429351.1301,181607385087.097,1.039952427639,6.52727719999495
"Amphibians","Pseudacris","regilla","Amphibians_Pseudacris_regilla",244424794154.175,2221790665.43731,30893595201.9992,0.90898743440728,12.6393049890481
"Amphibians","Pseudacris","triseriata","Amphibians_Pseudacris_triseriata",25072538785.4367,480135471.894949,118243476.393376,1.91498545880736,0.471605517914513
"Amphibians","Pseudotriton","ruber","Amphibians_Pseudotriton_ruber",9780.66744059543,6120.9854758067,0,62.5824925853329,0
"Amphibians","Rana","aurora","Amphibians_Rana_aurora",76531631619.6117,253159388.376943,10918038947.9469,0.330790528072407,14.2660475373284
"Amphibians","Rana","cascadae","Amphibians_Rana_cascadae",4245627.52602692,0,751031.442292984,0,17.6895273475816
"Amphibians","Rana","luteiventris","Amphibians_Rana_luteiventris",460993297011.687,2719563100.70558,84571585559.5263,0.589935497616712,18.3455130709595
"Amphibians","Rana","pretiosa","Amphibians_Rana_pretiosa",1919872772.30171,27419499.9504858,85051531.8036669,1.42819359418348,4.43006083688035
"Amphibians","Spea","bombifrons","Amphibians_Spea_bombifrons",195393514972.716,2778002206.34395,9671385019.65628,1.42174739357745,4.94969601268842
"Amphibians","Spea","intermontana","Amphibians_Spea_intermontana",23248813980.9704,1398329929.73112,1400624069.43004,6.01462909409349,6.02449686498621
"Amphibians","Taricha","granulosa","Amphibians_Taricha_granulosa",112921236593.196,399865525.220168,23054404467.7039,0.354110118950169,20.4163584842402
"Birds","Accipiter","cooperii","Birds_Accipiter_cooperii",820915782914.647,13442525986.9243,91911059817.9049,1.63750365953458,11.1961618634711
"Birds","Accipiter","gentilis","Birds_Accipiter_gentilis",6745660409502.29,146268696046.459,672392264127.846,2.168337674402,9.96777518151787
"Birds","Accipiter","striatus","Birds_Accipiter_striatus",5218403703597.6,143671059468.271,528457144685.736,2.75316107431901,10.1267969038389
"Birds","Actitis","macularius","Birds_Actitis_macularius",6942804788815.13,183933613785.083,704478922758.399,2.64926955862852,10.1468922746224
"Birds","Aechmophorus","clarkii","Birds_Aechmophorus_clarkii",340359674057.653,6488319734.88919,34798279356.523,1.90631271253073,10.2239724646782
"Birds","Aechmophorus","occidentalis","Birds_Aechmophorus_occidentalis",1270183065791.17,18510079899.6951,123771288424.018,1.45727654526441,9.74436612780096
"Birds","Aegolius","acadicus","Birds_Aegolius_acadicus",2874772166804.49,27043765518.527,327286058088.628,0.940727262869949,11.3847650908778
"Birds","Aegolius","funereus","Birds_Aegolius_funereus",5570737119419.93,113022917379.729,556416474871.057,2.02886826207836,9.98820197297329
"Birds","Aeronautes","saxatalis","Birds_Aeronautes_saxatalis",44456636753.0205,779187099.017998,3921095943.57101,1.75269016265622,8.82004629669742
"Birds","Agelaius","phoeniceus","Birds_Agelaius_phoeniceus",4698652307151.65,111395255203.325,499048953789.119,2.370791621116,10.6211083767474
"Birds","Aix","sponsa","Birds_Aix_sponsa",1231036588897.52,9973132487.33552,107669017515.719,0.810141028892339,8.74620774774406
"Birds","Alca","torda","Birds_Alca_torda",87397883155.586,1055170735.45765,8340591401.67482,1.20731841248286,9.54324189617599
"Birds","Alle","alle","Birds_Alle_alle",5573366665.33966,268766263.530837,217009853.366123,4.82233234720181,3.89369417798565
"Birds","Ammodramus","bairdii","Birds_Ammodramus_bairdii",388842694928.482,6315239030.7518,27755092538.5917,1.62411152713395,7.13787166393767
"Birds","Ammodramus","henslowii","Birds_Ammodramus_henslowii",7687455.41403029,9994.07758052863,0,0.130005015213338,0
"Birds","Ammodramus","leconteii","Birds_Ammodramus_leconteii",2435560315512.35,27040272559.976,235882218605.487,1.1102279991899,9.68492617912714
"Birds","Ammodramus","nelsoni","Birds_Ammodramus_nelsoni",1121723592239.12,19026840675.6338,139297824487.788,1.69621471878411,12.4181951285993
"Birds","Ammodramus","savannarum","Birds_Ammodramus_savannarum",437318958913.242,5737549945.82597,36945815434.5675,1.31198289689613,8.44825377028692
"Birds","Anas","acuta","Birds_Anas_acuta",6543853266212.87,356000993019.487,725453854163.551,5.44023495846989,11.0860348582265
"Birds","Anas","crecca","Birds_Anas_crecca",7106256561177.56,222260709810.358,698528217810.243,3.12767640595188,9.82976355830434
"Birds","Anas","platyrhynchos","Birds_Anas_platyrhynchos",6278977627149.17,222232623986.518,629601064508.07,3.53931224449064,10.027127056255
"Birds","Anas","rubripes","Birds_Anas_rubripes",3245281558044.11,15337443215.8316,301281393639.325,0.472607474621564,9.28367502944503
"Birds","Anser","albifrons","Birds_Anser_albifrons",1211713111405.57,251994253311.462,158246630313.736,20.7965277374239,13.0597439958516
"Birds","Anser","caerulescens","Birds_Anser_caerulescens",489435200362.393,87332507838.7721,95787851642.2056,17.8435281675916,19.5710998251211
"Birds","Anser","rossii","Birds_Anser_rossii",212460312736.213,34061773889.1836,82352788364.7203,16.0320642714454,38.7614925837787
"Birds","Anthus","rubescens","Birds_Anthus_rubescens",3785835100027.86,470885477777.37,508360066387.287,12.438087379292,13.4279505830443
"Birds","Anthus","spragueii","Birds_Anthus_spragueii",685800762615.304,12487481846.4577,50752528965.8125,1.82086146985848,7.40047718411211
"Birds","Antigone","canadensis","Birds_Antigone_canadensis",6282480876946.69,519363537830.26,689521130949.651,8.26685425714615,10.9753001155932
"Birds","Antrostomus","carolinensis","Birds_Antrostomus_carolinensis",2187828519.8017,0,19160260.1520572,0,0.875766083979648
"Birds","Antrostomus","vociferus","Birds_Antrostomus_vociferus",784258945001.748,7506072220.85691,74866713438.1211,0.957091056301586,9.54617271696585
"Birds","Aquila","chrysaetos","Birds_Aquila_chrysaetos",4533286997148.19,233776292471.934,457464645173.59,5.15688269061716,10.0912350235353
"Birds","Archilochus","alexandri","Birds_Archilochus_alexandri",60646936013.7868,891992937.222437,7479967984.76065,1.47079637629123,12.3336288300867
"Birds","Archilochus","colubris","Birds_Archilochus_colubris",1409265046279.21,17201294684.317,104716779625.043,1.22058620056833,7.43059511065854
"Birds","Ardea","alba","Birds_Ardea_alba",239709535082.553,1128706644.62482,16550926862.5631,0.470864308437335,6.90457593055825
"Birds","Ardea","herodias","Birds_Ardea_herodias",3840777942388.88,35675626484.2229,369494303588.728,0.928864595125054,9.62029852105718
"Birds","Ardenna","bulleri","Birds_Ardenna_bulleri",3254315962.81285,44020709.2865778,896248101.529725,1.35268700979264,27.5402914705018
"Birds","Ardenna","carneipes","Birds_Ardenna_carneipes",3945400928.85389,64669241.0375669,969369848.997925,1.63910442065904,24.5696157748794
"Birds","Ardenna","creatopus","Birds_Ardenna_creatopus",4340676704.92159,73619557.6817104,978778409.984798,1.69603872129519,22.5489820256604
"Birds","Ardenna","gravis","Birds_Ardenna_gravis",6529217377.77798,25377227.0093169,217180020.74469,0.388671804613025,3.32627952446271
"Birds","Ardenna","grisea","Birds_Ardenna_grisea",23539739542.6394,2118973371.31184,1418997179.47318,9.00168571310473,6.02809209890718
"Birds","Ardenna","tenuirostris","Birds_Ardenna_tenuirostris",4354097827.55115,73637768.8918204,991611440.242087,1.69122908598579,22.7742113180721
"Birds","Arenaria","interpres","Birds_Arenaria_interpres",1444128572183.48,224935816378.168,139480693626.816,15.575885742505,9.6584678340603
"Birds","Arenaria","melanocephala","Birds_Arenaria_melanocephala",52538422742.5328,478483918.998058,9640062687.34883,0.910731411452705,18.3485955309135
"Birds","Asio","flammeus","Birds_Asio_flammeus",7673261979442.25,318542027657.371,788221490080.645,4.15132480176996,10.2723130292228
"Birds","Asio","otus","Birds_Asio_otus",3521025939567.37,32734752341.2065,371751025539.715,0.929693586558146,10.5580314351616
"Birds","Athene","cunicularia","Birds_Athene_cunicularia",406276532187.092,5183945691.04627,29413438117.4701,1.27596483684148,7.23975809262964
"Birds","Aythya","affinis","Birds_Aythya_affinis",3519889698272.65,153169118030.763,319468232942.829,4.35153175697321,9.07608647792584
"Birds","Aythya","americana","Birds_Aythya_americana",1655361991185.08,21069007133.8333,149332135424.165,1.27277340219404,9.02111660285602
"Birds","Aythya","collaris","Birds_Aythya_collaris",3758974013516.28,60909679473.7301,316236764436.614,1.62038043505262,8.41284784889467
"Birds","Aythya","marila","Birds_Aythya_marila",3171313481343.85,222516640725.919,312550962878.244,7.01654510142047,9.85556819648744
"Birds","Aythya","valisineria","Birds_Aythya_valisineria",2226062549774.21,136620590275.749,215349191992.262,6.13732036818132,9.67399554941101
"Birds","Baeolophus","bicolor","Birds_Baeolophus_bicolor",21212109542.804,448827861.066972,111201854.747585,2.115903937613,0.524237603634805
"Birds","Bartramia","longicauda","Birds_Bartramia_longicauda",971464863181.444,40396937794.4934,92051457795.5308,4.15835294981208,9.47553136343729
"Birds","Bombycilla","cedrorum","Birds_Bombycilla_cedrorum",3785028818195.23,34265502429.8425,375683930526.578,0.905290397397316,9.92552365045695
"Birds","Bombycilla","garrulus","Birds_Bombycilla_garrulus",5719997335022.42,181503446412.66,564454268719.703,3.17313865342821,9.86808621856624
"Birds","Bonasa","umbellus","Birds_Bonasa_umbellus",5377583098889.83,80067758710.4155,519019148951.919,1.48891718152984,9.65153191326913
"Birds","Botaurus","lentiginosus","Birds_Botaurus_lentiginosus",4489934576800.84,39239126744.0408,450682847081.426,0.873935378630826,10.0376261473847
"Birds","Brachyramphus","brevirostris","Birds_Brachyramphus_brevirostris",5696613685.91846,114949412.793959,2307093753.99753,2.01785515275687,40.4993893073787
"Birds","Brachyramphus","marmoratus","Birds_Brachyramphus_marmoratus",113164330072.059,467172950.501078,25725371044.2024,0.412827036755839,22.7327560087365
"Birds","Branta","bernicla","Birds_Branta_bernicla",1168791195205.78,214193630118.096,166317728985.113,18.3260817669305,14.2298923595015
"Birds","Branta","canadensis","Birds_Branta_canadensis",6648779014635.5,205711170839.088,680443583409.741,3.0939691390896,10.2341133900214
"Birds","Branta","hutchinsii","Birds_Branta_hutchinsii",778388963412.306,206201357980.675,97548286642.5827,26.4907864413607,12.5320747374102
"Birds","Bubo","scandiacus","Birds_Bubo_scandiacus",8756199738827.78,539859112364.105,941230211680.511,6.16544994936785,10.7493003786425
"Birds","Bubo","virginianus","Birds_Bubo_virginianus",6578507823608.44,156764924157.799,615113111310.281,2.38298605643081,9.35034399598662
"Birds","Bubulcus","ibis","Birds_Bubulcus_ibis",511501065253.076,6477311230.87308,58642375759.3542,1.26633386924977,11.46476121811
"Birds","Bucephala","albeola","Birds_Bucephala_albeola",4480854471340.62,119350718847.41,431458393126.622,2.66357052233614,9.62893117565441
"Birds","Bucephala","clangula","Birds_Bucephala_clangula",6862060552712.34,196782909549.622,681114468107.898,2.86769415743264,9.92580090011996
"Birds","Bucephala","islandica","Birds_Bucephala_islandica",1287072137386.72,12159302835.0375,206436883872.878,0.944725822417833,16.0392629034786
"Birds","Buteo","jamaicensis","Birds_Buteo_jamaicensis",5156122593075.11,85364484848.5166,525242288347.724,1.65559455400003,10.1867688144798
"Birds","Buteo","lagopus","Birds_Buteo_lagopus",4492481544552.4,397170574851.902,557764632061.896,8.84078367185531,12.4155130417451
"Birds","Buteo","lineatus","Birds_Buteo_lineatus",202211861551.472,2765556351.38446,13354263826.6009,1.36765288156971,6.60409519211195
"Birds","Buteo","platypterus","Birds_Buteo_platypterus",1594740747012.11,17450177759.9475,143667185060.536,1.09423288974349,9.00881132746558
"Birds","Buteo","regalis","Birds_Buteo_regalis",391392756242.094,7197285647.4322,5340022167.6744,1.83889086669257,1.36436407739017
"Birds","Buteo","swainsoni","Birds_Buteo_swainsoni",489202511390.095,9676525246.2836,35061461907.6657,1.97802035373597,7.16706498665279
"Birds","Butorides","striata","Birds_Butorides_striata",317475965291.159,1820906330.65064,24225823946.0417,0.573557223136774,7.63075841782987
"Birds","Calamospiza","melanocorys","Birds_Calamospiza_melanocorys",272319894014.452,4514502058.06059,23120862261.3044,1.65779370412835,8.49033169059524
"Birds","Calcarius","lapponicus","Birds_Calcarius_lapponicus",3363740649214.4,441485261301.907,439031069736.694,13.1248305782735,13.0518703883793
"Birds","Calcarius","ornatus","Birds_Calcarius_ornatus",263366384072.838,4018899998.06514,21487906704.4534,1.5259730326683,8.15894054972124
"Birds","Calcarius","pictus","Birds_Calcarius_pictus",521634568052.345,80853658843.1694,133211793433.031,15.5000576639422,25.5373783854876
"Birds","Calidris","alba","Birds_Calidris_alba",896286701514.161,113285221161.331,115210949627.743,12.6393955159605,12.8542518184314
"Birds","Calidris","alpina","Birds_Calidris_alpina",787588353621.921,156492032539.261,105539229148.672,19.8697748410821,13.4003034279676
"Birds","Calidris","bairdii","Birds_Calidris_bairdii",1981948900761.73,326070102284,269478307905.19,16.4519933969378,13.5966324763278
"Birds","Calidris","canutus","Birds_Calidris_canutus",667134743054.326,74384642978.6809,49434731695.0273,11.1498679619244,7.41000708023412
"Birds","Calidris","ferruginea","Birds_Calidris_ferruginea",380954904844.023,1472992469.62484,19907844812.9624,0.386657961584176,5.22577464151917
"Birds","Calidris","fuscicollis","Birds_Calidris_fuscicollis",1288692413360.2,262605666659.072,161157112378.487,20.3776839171685,12.5054753723798
"Birds","Calidris","himantopus","Birds_Calidris_himantopus",312746691830.491,60650720651.8451,39979607720.77,19.3929215675662,12.7833830908878
"Birds","Calidris","maritima","Birds_Calidris_maritima",779627170777.159,117946946699.403,77360322388.3902,15.1286347013572,9.92273297905648
"Birds","Calidris","mauri","Birds_Calidris_mauri",45759231191.0434,287528836.818769,8180905875.51812,0.628351546419879,17.8781541179376
"Birds","Calidris","melanotos","Birds_Calidris_melanotos",1105812979130.87,237055960025.851,162079768561.604,21.4372560730991,14.6570687467417
"Birds","Calidris","minutilla","Birds_Calidris_minutilla",3508295806619.49,263127216683.083,373650244861.047,7.50014340827852,10.6504771962512
"Birds","Calidris","ptilocnemis","Birds_Calidris_ptilocnemis",225338333517.717,620275261.547274,51315368147.1031,0.275263978331723,22.7725870454565
"Birds","Calidris","pusilla","Birds_Calidris_pusilla",2187700391381.56,367058650200.817,289568822472.159,16.7782869924439,13.2362193476271
"Birds","Calidris","subruficollis","Birds_Calidris_subruficollis",492217750709.418,101839680396.631,45254528474.7836,20.6899650103745,9.19400578495181
"Birds","Calidris","virgata","Birds_Calidris_virgata",348771882529.878,12963914811.7829,68614269222.034,3.71701833236868,19.673108028184
"Birds","Callipepla","californica","Birds_Callipepla_californica",54552799503.6422,1207425015.94429,4288691997.62323,2.21331448968751,7.86154337934004
"Birds","Calonectris","borealis","Birds_Calonectris_borealis",1880059635.05139,19640281.5511507,69916889.779817,1.04466268968185,3.71886553364069
"Birds","Calypte","anna","Birds_Calypte_anna",169884534028.111,1110901750.50867,29083515284.7274,0.65391576511894,17.119577983429
"Birds","Cardinalis","cardinalis","Birds_Cardinalis_cardinalis",132050805641.822,693675330.932203,2476781951.68604,0.525309427353093,1.87562805061872
"Birds","Carduelis","flammea","Birds_Carduelis_flammea",8965599660778.35,480858818676.446,981155063147.634,5.36337598008141,10.9435520240757
"Birds","Carduelis","pinus","Birds_Carduelis_pinus",4811422708370.79,71997330612.5825,533092477394.624,1.49638339793599,11.0797265113947
"Birds","Carduelis","tristis","Birds_Carduelis_tristis",2319228257629.22,25805524678.8774,180558869983.884,1.11267722760745,7.78529967414487
"Birds","Carpodacus","cassinii","Birds_Carpodacus_cassinii",167093180958.092,2296416495.85068,21626379115.4036,1.37433286186983,12.9427059748343
"Birds","Carpodacus","mexicanus","Birds_Carpodacus_mexicanus",275997290177.499,1369829265.13817,18843264998.1723,0.496319824103057,6.82733695901645
"Birds","Carpodacus","purpureus","Birds_Carpodacus_purpureus",3418907216574.48,27884705226.607,378505461833.21,0.815602865483598,11.0709486352323
"Birds","Catharacta","maccormicki","Birds_Catharacta_maccormicki",969555372.381159,0,37193795.9114486,0,3.83617036952755
"Birds","Catharacta","skua","Birds_Catharacta_skua",6834609366.66138,25431666.2068793,231857848.212364,0.372101240064029,3.39240819443678
"Birds","Cathartes","aura","Birds_Cathartes_aura",624648797213.198,8473308468.21042,45685702654.1697,1.35649160072238,7.31382224027189
"Birds","Catharus","bicknelli","Birds_Catharus_bicknelli",28389420318.802,321713.412023209,3784224092.73578,0.00113321585439398,13.3296983532613
"Birds","Catharus","fuscescens","Birds_Catharus_fuscescens",1904160931801.39,16435307878.519,174429317699.738,0.863125989197286,9.16042939368168
"Birds","Catharus","guttatus","Birds_Catharus_guttatus",5137109645264.64,49366174867.5897,583700480718.617,0.960971796914927,11.3624298686455
"Birds","Catharus","minimus","Birds_Catharus_minimus",2978684828937.47,144676117400.063,255488963082.691,4.85704684143003,8.57724055263095
"Birds","Catharus","ustulatus","Birds_Catharus_ustulatus",5453465352901.54,77466025811.0652,537802460108.007,1.42049175704122,9.86166456199939
"Birds","Catherpes","mexicanus","Birds_Catherpes_mexicanus",65280940940.3305,1448295957.78405,4720582964.33472,2.21855864349114,7.23118094858578
"Birds","Centrocercus","urophasianus","Birds_Centrocercus_urophasianus",115961809616.508,366687961.161588,17437508905.1156,0.316214417810694,15.0372859502472
"Birds","Cepphus","columba","Birds_Cepphus_columba",92112658560.1896,503213324.73455,21328655674.8477,0.546302031230303,23.1549669809072
"Birds","Cepphus","grylle","Birds_Cepphus_grylle",19463315736.3843,4462394163.23121,916215300.110207,22.9272043040915,4.70739576195363
"Birds","Cerorhinca","monocerata","Birds_Cerorhinca_monocerata",3666416677.44867,55928888.6858741,843032341.491089,1.52543733040166,22.9933587929707
"Birds","Certhia","americana","Birds_Certhia_americana",3368765002879.44,35841841756.6592,377188853802.981,1.06394603737641,11.196650804689
"Birds","Chaetura","pelagica","Birds_Chaetura_pelagica",1158724611020.65,10459665839.3615,106427385118.435,0.902687812089205,9.18487310152924
"Birds","Chaetura","vauxi","Birds_Chaetura_vauxi",541175180356.976,6196427038.30821,92844994707.6809,1.144994682539,17.1561812288652
"Birds","Charadrius","hiaticula","Birds_Charadrius_hiaticula",3212040.73110263,3188995.77185551,0,99.2825446133364,0
"Birds","Charadrius","melodus","Birds_Charadrius_melodus",200345436677.869,2511745592.67868,14233629111.7885,1.25370741371927,7.10454370601634
"Birds","Charadrius","montanus","Birds_Charadrius_montanus",3790317731.89,0,1369869505.0482,0,36.1412842391218
"Birds","Charadrius","semipalmatus","Birds_Charadrius_semipalmatus",3431047644441.41,497029411510.266,379782159718.808,14.4862287854118,11.0689853093147
"Birds","Charadrius","vociferus","Birds_Charadrius_vociferus",4997272495756.44,91961675936.2703,483637240843.001,1.84023736977245,9.67802418726803
"Birds","Chlidonias","niger","Birds_Chlidonias_niger",2772727336818.93,29948562512.4475,251351680402.728,1.08011206564605,9.06514236236068
"Birds","Chondestes","grammacus","Birds_Chondestes_grammacus",197100570622.75,999828547.894724,20089337429.1763,0.507268215782284,10.1924298675052
"Birds","Chordeiles","minor","Birds_Chordeiles_minor",4835966046723.88,59843287507.4452,475219233768.163,1.23746293768927,9.82676944330698
"Birds","Cinclus","mexicanus","Birds_Cinclus_mexicanus",1583093016887.25,38472401231.1222,248363886867.54,2.43020472080462,15.6885214082925
"Birds","Circus","hudsonius","Birds_Circus_hudsonius",6098192452118,197524861426.936,617411351708.964,3.23907228212079,10.1244976533092
"Birds","Cistothorus","palustris","Birds_Cistothorus_palustris",1139250307566.1,17322926330.818,68731226325.3157,1.52055489612523,6.03302240682765
"Birds","Cistothorus","platensis","Birds_Cistothorus_platensis",654616828872.636,13278975575.3355,55947245785.016,2.02851118236667,8.54656393135613
"Birds","Clangula","hyemalis","Birds_Clangula_hyemalis",3909086711034.04,522186510662.782,452013381656.119,13.3582739208323,11.5631454370208
"Birds","Coccothraustes","vespertinus","Birds_Coccothraustes_vespertinus",2607909325022.89,26008653828.1561,279596492939.862,0.99729900800626,10.7210971737833
"Birds","Coccyzus","americanus","Birds_Coccyzus_americanus",100662944877.155,1209551785.08637,2405496741.88084,1.20158593270093,2.38965464880491
"Birds","Coccyzus","erythropthalmus","Birds_Coccyzus_erythropthalmus",1173946266378.14,11174112590.8688,88594171361.6603,0.951841912265982,7.54669731477497
"Birds","Colaptes","auratus","Birds_Colaptes_auratus",5481160517592.42,155654335002.527,456399455153.413,2.8398061779606,8.32669383953537
"Birds","Colaptes","cafer","Birds_Colaptes_cafer",2227047562630.14,40038185269.122,281998494708.641,1.79781455685827,12.6624370058626
"Birds","Colinus","virginianus","Birds_Colinus_virginianus",20771545355.7786,448812444.491415,111071376.717712,2.16070801090665,0.5347285183421
"Birds","Contopus","cooperi","Birds_Contopus_cooperi",5313640122614.01,62850565091.822,545309919965.604,1.18281561493673,10.2624548780571
"Birds","Contopus","sordidulus","Birds_Contopus_sordidulus",2210735024874.8,37540514260.6074,270295356136.895,1.69810103147633,12.2264926866214
"Birds","Contopus","virens","Birds_Contopus_virens",474701365988.923,4949542039.86347,32390384329.6316,1.04266437690827,6.82331812173202
"Birds","Corvus","brachyrhynchos","Birds_Corvus_brachyrhynchos",4736096617479.73,44208020591.13,474014112970.229,0.933427338200185,10.0085397586857
"Birds","Corvus","caurinus","Birds_Corvus_caurinus",172505156845.522,530713445.616336,41383647486.2948,0.307650771328297,23.9898031125839
"Birds","Corvus","corax","Birds_Corvus_corax",8862737401986.84,598118019069.226,970226748352.842,6.74868262411949,10.9472582154509
"Birds","Coturnicops","noveboracensis","Birds_Coturnicops_noveboracensis",3052819501587.79,27747672200.909,273982269356.989,0.908919514778954,8.97472874549213
"Birds","Cyanocitta","cristata","Birds_Cyanocitta_cristata",2002090381396.44,23043055814.4948,160837703889.05,1.15094982866969,8.03348866682369
"Birds","Cyanocitta","stelleri","Birds_Cyanocitta_stelleri",613475143019.61,5293997206.49416,129652552906.818,0.862952194026374,21.1341167416581
"Birds","Cygnus","buccinator","Birds_Cygnus_buccinator",648322235246.376,5711159524.03351,96142890095.5683,0.880913720607338,14.8294913962086
"Birds","Cygnus","columbianus","Birds_Cygnus_columbianus",1041907469760.78,234249355022.687,142664027906.658,22.4827407251885,13.6925813517216
