"Environment and Climate Change Canada"
"Monthly Values for May - 1938"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"BIG CREEK","51.667","-123.073","BC","7.4","0",NA,"25.6","0","-10.0","0","5.1","0",NA,"5.1","0",NA,"","1","","",NA,"327.7","0.1","1080870"
"BRALORNE","50.783","-122.817","BC","9.0","0",NA,"25.6","0","-3.9","0","6.4","0",NA,"11.1","0",NA,"","3","","",NA,"280.0","0.0","1080930"
"NADINA RIVER","53.983","-126.383","BC","",,NA,"",,"",,"0.3","0",NA,"4.5","0",NA,"","1","","",NA,"","","1085280"
"PEMBERTON MEADOWS","50.450","-122.933","BC","13.6","0",NA,"28.3","0","-1.1","0","0.0","0",NA,"2.0","0",NA,"","1","","",NA,"137.6","0.0","1086090"
"TATLAYOKO LAKE","51.675","-124.405","BC","8.8","0","0.5","26.1","0","-5.6","0","1.3","0","63.0","1.8","0","6.0","","0","","",NA,"283.9","0.0","1088010"
"WISTARIA","53.825","-126.214","BC","7.9","0","0.7","25.0","0","-5.0","0","2.3","0","92.0","2.3","0","7.0","","2","","",NA,"314.4","0.0","1088970"
"BARKERVILLE","53.069","-121.515","BC","7.4","0","1.2","25.0","0","-4.4","0","34.5","0","296.0","59.4","0","76.0","","6","","",NA,"327.4","0.0","1090660"
"BRIDGE RIVER","50.733","-122.217","BC","",,NA,"",,"",,"0.0","0",NA,"18.3","0",NA,"","1","","",NA,"","","1090990"
"DOME CREEK","53.750","-121.167","BC","10.1","0",NA,"31.7","0","-6.1","0","0.0","0",NA,"20.4","0",NA,"","3","","",NA,"246.0","1.0","1092519"
"FORT ST JAMES","54.450","-124.250","BC","8.2","0","-1.0","27.2","0","-6.7","0","0.5","0","74.0","5.6","0","14.0","","2","","",NA,"304.6","0.0","1092970"
"MCBRIDE 4SE","53.267","-120.150","BC","9.4","0",NA,"26.7","0","-3.3","0","8.7","0",NA,"13.8","0",NA,"","3","","",NA,"265.5","0.0","1094950"
"PRINCE GEORGE","53.833","-122.800","BC","9.8","0",NA,"30.0","0","-6.1","0","0.0","0",NA,"32.5","0",NA,"","7","","",NA,"257.5","1.8","1096436"
"QUESNEL","52.983","-122.483","BC","10.9","0",NA,"31.7","0","-3.9","0","0.0","0",NA,"20.8","0",NA,"","7","","",NA,"223.9","5.2","1096600"
"RED PASS JUNCTION","53.000","-119.000","BC","",,NA,"",,"",,"0.0","0",NA,"6.4","0",NA,"","1","","",NA,"","","1096660"
"VANDERHOOF","54.050","-124.000","BC","8.4","0",NA,"29.4","0","-6.7","0","0.0","0",NA,"7.9","0",NA,"","3","","",NA,"299.6","0.9","1098490"
"WILLIAMS LAKE","52.133","-122.167","BC","",,NA,"",,"",,"0.0","0",NA,"37.8","0",NA,"","5","","",NA,"","","1098939"
"WOODPECKER","53.517","-122.650","BC","",,NA,"",,"",,"0.0","0",NA,"27.0","0",NA,"","8","","",NA,"","","1098977"
"ABBOTSFORD UPPER SUMAS","49.050","-122.267","BC","12.5","0",NA,"27.8","0","0.0","0","0.0","0",NA,"51.6","0",NA,"","9","","",NA,"170.2","0.0","1100040"
"AGASSIZ CDA","49.243","-121.760","BC","13.7","0","0.1","28.3","0","3.3","0","0.0","0",NA,"60.1","0","58.0","","10","","",NA,"138.9","6.9","1100120"
"ALOUETTE LAKE","49.283","-122.483","BC","",,NA,"",,"",,"0.0","0",NA,"118.2","0",NA,"","9","","",NA,"","","1100360"
"ALOUETTE POWER HOUSE","49.367","-122.317","BC","13.6","0",NA,"28.3","0","4.4","0","0.0","0",NA,"120.8","0",NA,"","9","","",NA,"148.8","12.2","1100370"
"BUNTZEN LAKE","49.383","-122.867","BC","",,NA,"",,"",,"0.0","0",NA,"97.7","0",NA,"","8","","",NA,"","","1101140"
"BURQUITLAM VANCOUVER GOLF COURSE","49.252","-122.877","BC","",,"","",,"",,"0.0","0",NA,"61.3","0","52.0","","6","","",NA,"","","1101200"
"COQUITLAM LAKE","49.367","-122.800","BC","11.8","0",NA,"27.2","0","1.7","0","0.0","0",NA,"102.5","0",NA,"","10","","",NA,"193.0","0.0","1101890"
