"Environment and Climate Change Canada"
"Monthly Values for June - 1962"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CAMERON LAKE","49.283","-124.583","BC","",,NA,"",,"",,"0.0","0",NA,"39.3","0",NA,"","4","","",NA,"","","1021230"
"CAMPBELL RIVER","50.017","-125.300","BC","14.1","0",NA,"26.7","0","2.8","0","0.0","0",NA,"78.0","0",NA,"","6","","",NA,"118.0","0.1","1021260"
"CAPE LAZO","49.700","-124.867","BC","14.2","0",NA,"23.3","0","5.0","0","0.0","0",NA,"40.2","0",NA,"0.0","2","","",NA,"114.9","0.0","1021320"
"CHATHAM POINT","50.333","-125.433","BC","13.8","0","-0.4","25.6","0","6.1","0","0.0","0",NA,"69.2","0","57.0","0.0","6","","",NA,"127.6","1.2","1021480"
"COMOX A","49.717","-124.900","BC","14.6","0","-0.9","26.1","0","5.0","0","0.0","0",NA,"45.1","0","105.0","0.0","2","","",NA,"105.9","2.4","1021830"
"COOMBS","49.306","-124.427","BC","13.9","0","-0.7","26.7","0","2.2","0","0.0","0",NA,"33.8","0","73.0","","2","","",NA,"123.5","0.8","1021850"
"CORTES ISLAND","50.083","-125.033","BC","15.0","0",NA,"25.6","0","5.6","0","0.0","0",NA,"60.1","0",NA,"","6","","",NA,"92.3","3.4","1021950"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","",,NA,"",,"",,"0.0","0",NA,"30.2","0",NA,"","4","","",NA,"","","1021960"
"COURTENAY GRANTHAM","49.760","-124.997","BC","",,NA,"",,"",,"0.0","0",NA,"49.7","0",NA,"","5","","",NA,"","","1021988"
"COURTENAY PUNTLEDGE BCHP","49.683","-125.033","BC","",,NA,"",,"",,"0.0","0",NA,"50.9","0",NA,"","5","","",NA,"","","1021990"
"CUMBERLAND","49.617","-125.033","BC","13.6","0",NA,"27.2","0","1.7","0","0.0","0",NA,"61.4","0",NA,"","6","","",NA,"132.9","0.9","1022250"
"DENMAN ISLAND","49.517","-124.783","BC","13.9","0",NA,"26.7","0","1.7","0","0.0","0",NA,"52.1","0",NA,"","5","","",NA,"124.4","0.4","1022430"
"DUNCAN BAY","50.067","-125.283","BC","",,NA,"",,"",,"0.0","0",NA,"57.9","0",NA,"","7","","",NA,"","","1022560"
"NANAIMO","49.183","-123.967","BC","14.9","0",NA,"26.1","0","4.4","0","0.0","0",NA,"4.3","0",NA,"","1","","",NA,"99.1","6.7","1025340"
"NANAIMO A","49.052","-123.870","BC","14.0","0","-1.6","27.8","0","2.8","0","0.0","0",NA,"34.2","0","79.0","0.0","5","272.1","0","120.0","121.1","0.9","1025370"
"PARKSVILLE NORTHWEST","49.333","-124.333","BC","",,NA,"",,"",,"0.0","0",NA,"27.2","0",NA,"","2","","",NA,"","","1025975"
"NANAIMO DEPARTURE BAY","49.217","-123.950","BC","15.4","0",NA,"26.1","0","6.1","0","0.0","0",NA,"3.4","0",NA,"","2","","",NA,"84.2","5.2","1025C70"
"PORT HARDY A","50.680","-127.366","BC","11.7","0","-0.7","24.4","0","3.9","0","0.0","0",NA,"110.1","0","136.0","0.0","11","","",NA,"189.3","0.0","1026270"
"PORT HARDY BEAVER HR","50.717","-127.433","BC","",,NA,"",,"",,"0.0","0",NA,"95.4","0",NA,"","12","","",NA,"","","1026274"
"SURGE NARROWS READ IS","50.217","-125.100","BC","",,NA,"",,"",,"0.0","0",NA,"59.4","0",NA,"","5","","",NA,"","","1027870"
"ALBERNI CITY RESERVOIR","49.267","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"55.6","0",NA,"","4","","",NA,"","","1030185"
"ALBERNI LUPSI CUPSI","49.250","-124.817","BC","14.7","0",NA,"28.9","0","4.4","0","0.0","0",NA,"56.9","0",NA,"","5","248.2","0",NA,"102.2","2.7","1030210"
"ALBERNI MCCOY LAKE","49.283","-124.883","BC","14.7","0",NA,"30.0","0","2.8","0","0.0","0",NA,"53.4","0",NA,"","5","","",NA,"99.6","1.3","1030220"
"ALBERNI ROBERTSON CREEK","49.337","-124.981","BC","",,"","",,"3.3","1","0.0","0",NA,"48.5","0","78.0","","2","","",NA,"","","1030230"
"AMPHITRITE POINT","48.917","-125.533","BC","11.8","0",NA,"18.3","0","6.1","0","0.0","0",NA,"118.6","0",NA,"","7","","",NA,"185.1","0.0","1030425"
"ASH RIVER GENERATING STN","49.367","-125.150","BC","14.4","0",NA,"27.8","0","3.3","0","0.0","0",NA,"54.6","0",NA,"","5","","",NA,"109.1","1.8","1030552"
"BAMFIELD EAST","48.833","-125.117","BC","11.4","0","-1.4","20.6","0","3.9","0","0.0","0",NA,"95.0","0","83.0","","6","","",NA,"197.0","0.0","1030605"
"BENSON LAKE","50.367","-127.233","BC","",,NA,"",,"",,"0.0","0",NA,"73.9","0",NA,"","8","","",NA,"","","1030850"
"BULL HARBOUR","50.917","-127.950","BC","11.5","0",NA,"22.8","0","6.1","0","0.0","0",NA,"102.2","0",NA,"0.0","8","","",NA,"194.9","0.0","1031110"
"ESTEVAN POINT","49.384","-126.551","BC","12.0","0","-0.7","19.4","0","5.0","0","0.0","0",NA,"117.4","0","82.0","0.0","7","234.7","0","114.0","179.0","0.0","1032730"
"HOLBERG PUMP HOUSE","50.650","-128.000","BC","11.8","0",NA,"21.1","0","1.7","0","0.0","0",NA,"86.9","0",NA,"","13","","",NA,"185.5","0.0","1033485"
"PACHENA POINT","48.723","-125.097","BC","11.1","0","-1.5","17.8","0","3.9","0","0.0","0",NA,"99.9","0","84.0","","6","","",NA,"207.1","0.0","1035940"
"PORT ALBERNI CHINA CREEK","49.233","-124.783","BC","",,NA,"",,"",,"0.0","0",NA,"68.3","0",NA,"","5","","",NA,"","","1036207"
"PORT ALBERNI REDFORD","49.250","-124.800","BC","15.6","0",NA,"30.6","0","4.4","0","0.0","0",NA,"58.4","0",NA,"","3","","",NA,"78.6","6.4","1036210"
"PORT ALICE","50.386","-127.453","BC","13.7","2","-0.1","25.0","1","4.4","1","0.0","0",NA,"66.4","0","66.0","","7","","",NA,"120.3","0.1","1036240"
"QUATSINO","50.533","-127.650","BC","12.9","0","-0.4","24.4","0","3.9","0","0.0","0",NA,"62.8","0","74.0","","10","","",NA,"154.0","0.0","1036570"
"SPRING ISLAND","50.000","-127.417","BC","11.6","0",NA,"22.8","0","5.0","0","0.0","0",NA,"96.1","0",NA,"0.0","11","","",NA,"191.6","0.0","1037650"
"TAHSIS","49.917","-126.650","BC","",,NA,"",,"",,"0.0","0",NA,"73.2","0",NA,"","6","","",NA,"","","1037890"
"TOFINO A","49.081","-125.778","BC","11.9","0","-1.0","21.7","0","3.9","0","0.0","0",NA,"102.6","0","79.0","0.0","5","","",NA,"184.2","0.0","1038205"
