CSD Code / Code de la SDR 2016,CSD Name / Nom de la SDR 2016,Census Population / Population de recensement 2016,Income / Revenu 2016,Education / Scolarité 2016,Housing / Logement 2016,Labour Force Activity / Activité sur le marché du travail 2016,CWB / IBC 2016,Community Type / Type de communauté 2016
1002005,Burin,2315,80,52,96,75,76,Non-Indigenous Community / Communauté non-Autochtone
1002006,"Division No.  2, Subd. F",117,,,,,66,Non-Indigenous Community / Communauté non-Autochtone
1002008,St. Lawrence,1192,73,58,91,79,75,Non-Indigenous Community / Communauté non-Autochtone
1002009,"Division No.  2, Subd. G",10,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1002011,Lawn,624,78,48,95,71,73,Non-Indigenous Community / Communauté non-Autochtone
1002012,Lamaline,267,77,49,97,70,73,Non-Indigenous Community / Communauté non-Autochtone
1002013,Lord's Cove,162,,,,,74,Non-Indigenous Community / Communauté non-Autochtone
1002014,Point May,231,,,,,65,Non-Indigenous Community / Communauté non-Autochtone
1002015,Point au Gaul,88,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1002016,"Division No.  2, Subd. H",178,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1002017,Frenchman's Cove,169,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1002018,Fortune,1401,72,39,91,76,70,Non-Indigenous Community / Communauté non-Autochtone
1002019,Grand Bank,2310,74,47,98,75,73,Non-Indigenous Community / Communauté non-Autochtone
1002021,Garnish,568,81,46,97,78,76,Non-Indigenous Community / Communauté non-Autochtone
1002022,"Division No.  2, Subd. D",226,,,,,75,Non-Indigenous Community / Communauté non-Autochtone
1002023,Winterland,390,85,63,100,79,82,Non-Indigenous Community / Communauté non-Autochtone
1002024,Marystown,5316,79,55,96,74,76,Non-Indigenous Community / Communauté non-Autochtone
1002025,Fox Cove-Mortier,295,76,43,95,79,73,Non-Indigenous Community / Communauté non-Autochtone
1002026,"Division No.  2, Subd. I",136,,,,,65,Non-Indigenous Community / Communauté non-Autochtone
1002027,Bay L'Argent,241,,,,,69,Non-Indigenous Community / Communauté non-Autochtone
1002029,"Division No.  2, Subd. J",,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1002030,Grand le Pierre,235,,,,,66,Non-Indigenous Community / Communauté non-Autochtone
1002031,"Division No.  2, Subd. C",566,76,36,99,71,70,Non-Indigenous Community / Communauté non-Autochtone
1002033,Rushoon,245,,,,,66,Non-Indigenous Community / Communauté non-Autochtone
1002034,Parkers Cove,248,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1002036,Terrenceville,482,75,36,96,59,67,Non-Indigenous Community / Communauté non-Autochtone
1002037,Red Harbour,189,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1002039,English Harbour East,139,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1002040,Baine Harbour,124,,,,,80,Non-Indigenous Community / Communauté non-Autochtone
1002041,St. Bernard's-Jacques Fontaine,433,79,41,90,71,70,Non-Indigenous Community / Communauté non-Autochtone
1002044,"Division No.  2, Subd. L",,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1002048,"Division No.  2, Subd. K",558,78,49,97,69,73,Non-Indigenous Community / Communauté non-Autochtone
1002055,Little Bay East,127,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1003001,"Division No.  3, Subd. A",24,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1003002,Rencontre East,139,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1003003,St. Jacques-Coomb's Cove,588,68,41,98,73,70,Non-Indigenous Community / Communauté non-Autochtone
1003004,Belleoram,374,56,25,91,69,60,Non-Indigenous Community / Communauté non-Autochtone
1003005,Pool's Cove,193,,,,,65,Non-Indigenous Community / Communauté non-Autochtone
1003006,"Division No.  3, Subd. B",,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1003008,Harbour Breton,1634,76,44,98,78,74,Non-Indigenous Community / Communauté non-Autochtone
1003009,"Division No.  3, Subd. C",,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1003010,Seal Cove (Fortune Bay),242,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1003011,Hermitage-Sandyville,422,69,38,94,79,70,Non-Indigenous Community / Communauté non-Autochtone
1003012,Gaultois,136,,,,,65,Non-Indigenous Community / Communauté non-Autochtone
1003014,"Division No.  3, Subd. D",262,,,,,76,Non-Indigenous Community / Communauté non-Autochtone
1003018,Milltown-Head of Bay d'Espoir,749,75,47,97,75,73,Non-Indigenous Community / Communauté non-Autochtone
1003019,St. Alban's,1186,74,45,96,77,73,Non-Indigenous Community / Communauté non-Autochtone
1003020,Morrisville,101,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1003021,"Division No.  3, Subd. E",89,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1003024,"Division No.  3, Subd. F",119,,,,,68,Non-Indigenous Community / Communauté non-Autochtone
1003026,Ramea,447,73,37,94,75,70,Non-Indigenous Community / Communauté non-Autochtone
1003028,Burgeo,1307,71,39,96,65,68,Non-Indigenous Community / Communauté non-Autochtone
1003031,"Division No.  3, Subd. H",707,72,40,98,72,70,Non-Indigenous Community / Communauté non-Autochtone
1003032,Isle aux Morts,664,70,40,97,65,68,Non-Indigenous Community / Communauté non-Autochtone
1003033,Burnt Islands,622,73,30,96,70,67,Non-Indigenous Community / Communauté non-Autochtone
1003034,Channel-Port aux Basques,4067,74,49,95,76,74,Non-Indigenous Community / Communauté non-Autochtone
1003038,"Division No.  3, Subd. I",87,,,,,60,Non-Indigenous Community / Communauté non-Autochtone
1003042,"Division No.  3, Subd. J",51,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1003045,Rose Blanche-Harbour le Cou,394,72,35,95,60,66,Non-Indigenous Community / Communauté non-Autochtone
1003801,Samiajij Miawpukek,956,68,54,94,69,71,First Nations Community / Communauté des Premières Nations
1004001,"Division No.  4, Subd. A",1700,73,52,96,67,72,Non-Indigenous Community / Communauté non-Autochtone
1004006,"Division No.  4, Subd. B",1174,65,43,92,65,66,Non-Indigenous Community / Communauté non-Autochtone
1004011,"Division No.  4, Subd. C",747,63,35,93,58,62,Non-Indigenous Community / Communauté non-Autochtone
1004013,St. George's,1203,74,56,95,72,74,Non-Indigenous Community / Communauté non-Autochtone
1004016,"Division No.  4, Subd. D",860,75,48,97,69,72,Non-Indigenous Community / Communauté non-Autochtone
1004017,Gallants,50,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1004018,Stephenville Crossing,1719,70,47,91,66,69,Non-Indigenous Community / Communauté non-Autochtone
1004019,Stephenville,6623,72,56,96,75,75,Non-Indigenous Community / Communauté non-Autochtone
1004020,Kippens,2008,82,65,97,79,81,Non-Indigenous Community / Communauté non-Autochtone
1004021,Port au Port East,579,72,57,96,74,75,Non-Indigenous Community / Communauté non-Autochtone
1004022,"Division No.  4, Subd. E",1957,62,37,93,61,63,Non-Indigenous Community / Communauté non-Autochtone
1004033,Cape St. George,853,64,37,86,60,62,Non-Indigenous Community / Communauté non-Autochtone
1004037,Lourdes,465,63,39,91,58,63,Non-Indigenous Community / Communauté non-Autochtone
1004042,Port au Port West-Aguathuna-Felix Cove,449,73,42,93,67,69,Non-Indigenous Community / Communauté non-Autochtone
1005001,"Division No.  5, Subd. A",276,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1005003,"Division No.  5, Subd. G",468,74,34,95,70,68,Non-Indigenous Community / Communauté non-Autochtone
1005004,Deer Lake,5249,74,55,97,78,76,Non-Indigenous Community / Communauté non-Autochtone
1005005,Jackson's Arm,284,65,36,91,65,64,Non-Indigenous Community / Communauté non-Autochtone
1005006,Howley,205,,,,,69,Non-Indigenous Community / Communauté non-Autochtone
1005007,"Division No.  5, Subd. E",216,,,,,60,Non-Indigenous Community / Communauté non-Autochtone
1005008,Hampden,429,69,37,86,73,66,Non-Indigenous Community / Communauté non-Autochtone
1005009,Reidville,509,73,57,95,77,76,Non-Indigenous Community / Communauté non-Autochtone
1005010,"Division No.  5, Subd. F",823,91,71,98,80,85,Non-Indigenous Community / Communauté non-Autochtone
1005011,Steady Brook,444,94,76,97,84,88,Non-Indigenous Community / Communauté non-Autochtone
1005012,Pasadena,3620,80,65,98,80,81,Non-Indigenous Community / Communauté non-Autochtone
1005014,Cormack,597,70,57,93,73,73,Non-Indigenous Community / Communauté non-Autochtone
1005015,Gillams,410,72,57,92,78,75,Non-Indigenous Community / Communauté non-Autochtone
1005016,"Division No.  5, Subd. C",276,,,,,82,Non-Indigenous Community / Communauté non-Autochtone
1005017,Massey Drive,1632,82,71,100,90,86,Non-Indigenous Community / Communauté non-Autochtone
1005018,Corner Brook,19806,76,61,97,81,79,Non-Indigenous Community / Communauté non-Autochtone
1005019,"Division No.  5, Subd. D",34,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1005020,Humber Arm South,1599,74,46,95,78,73,Non-Indigenous Community / Communauté non-Autochtone
1005022,McIvers,538,63,46,92,70,68,Non-Indigenous Community / Communauté non-Autochtone
1005023,Cox's Cove,688,68,35,96,63,66,Non-Indigenous Community / Communauté non-Autochtone
1005024,Lark Harbour,522,70,33,97,78,70,Non-Indigenous Community / Communauté non-Autochtone
1005025,Meadows,626,74,53,97,81,76,Non-Indigenous Community / Communauté non-Autochtone
1005028,Hughes Brook,255,,,,,77,Non-Indigenous Community / Communauté non-Autochtone
1005030,Irishtown-Summerside,1418,76,58,99,82,79,Non-Indigenous Community / Communauté non-Autochtone
1005033,Mount Moriah,746,73,54,99,78,76,Non-Indigenous Community / Communauté non-Autochtone
1005035,York Harbour,344,69,45,87,71,68,Non-Indigenous Community / Communauté non-Autochtone
1006001,"Division No.  6, Subd. D",682,80,50,96,75,75,Non-Indigenous Community / Communauté non-Autochtone
1006003,Norris Arm,737,70,44,94,64,68,Non-Indigenous Community / Communauté non-Autochtone
1006008,"Division No.  6, Subd. E",194,,,,,68,Non-Indigenous Community / Communauté non-Autochtone
1006009,Gander,11688,81,63,98,85,82,Non-Indigenous Community / Communauté non-Autochtone
1006011,Appleton,574,80,56,99,88,81,Non-Indigenous Community / Communauté non-Autochtone
1006012,Glenwood,778,72,53,85,73,71,Non-Indigenous Community / Communauté non-Autochtone
1006014,"Division No.  6, Subd. C",681,79,53,93,67,73,Non-Indigenous Community / Communauté non-Autochtone
1006015,Northern Arm,426,69,53,87,77,72,Non-Indigenous Community / Communauté non-Autochtone
1006017,Grand Falls-Windsor,14171,76,60,96,78,77,Non-Indigenous Community / Communauté non-Autochtone
1006019,Bishop's Falls,3156,73,49,97,74,73,Non-Indigenous Community / Communauté non-Autochtone
1006021,Peterview,828,63,25,97,65,62,Non-Indigenous Community / Communauté non-Autochtone
1006022,Botwood,2875,70,49,94,75,72,Non-Indigenous Community / Communauté non-Autochtone
1006026,Badger,704,76,48,97,74,74,Non-Indigenous Community / Communauté non-Autochtone
1006028,Millertown,81,,,,,80,Non-Indigenous Community / Communauté non-Autochtone
1006029,"Division No.  6, Subd. A",128,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1006031,Buchans,642,70,48,95,65,69,Non-Indigenous Community / Communauté non-Autochtone
1007001,"Division No.  7, Subd. M",1966,79,48,98,75,75,Non-Indigenous Community / Communauté non-Autochtone
1007006,"Division No.  7, Subd. L",1232,68,43,94,83,72,Non-Indigenous Community / Communauté non-Autochtone
1007009,"Division No.  7, Subd. K",1275,76,45,97,80,74,Non-Indigenous Community / Communauté non-Autochtone
1007013,Clarenville,6291,81,62,96,85,81,Non-Indigenous Community / Communauté non-Autochtone
1007014,"Division No.  7, Subd. J",459,71,49,90,79,72,Non-Indigenous Community / Communauté non-Autochtone
1007015,Trinity (Trinity Bay),169,,,,,82,Non-Indigenous Community / Communauté non-Autochtone
1007016,Port Rexton,340,66,52,95,70,71,Non-Indigenous Community / Communauté non-Autochtone
1007018,"Division No.  7, Subd. I",71,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1007020,Elliston,308,64,50,98,63,69,Non-Indigenous Community / Communauté non-Autochtone
1007022,Trinity Bay North,1819,70,48,98,69,71,Non-Indigenous Community / Communauté non-Autochtone
1007023,Bonavista,3448,71,47,96,73,72,Non-Indigenous Community / Communauté non-Autochtone
1007024,"Division No.  7, Subd. G",343,69,47,97,66,69,Non-Indigenous Community / Communauté non-Autochtone
1007025,Keels,51,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1007026,Duntara,30,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1007027,King's Cove,90,,,,,76,Non-Indigenous Community / Communauté non-Autochtone
1007028,"Division No.  7, Subd. F",846,71,44,96,74,71,Non-Indigenous Community / Communauté non-Autochtone
1007031,"Division No.  7, Subd. E",2644,72,50,97,73,73,Non-Indigenous Community / Communauté non-Autochtone
1007032,Musgravetown,564,76,48,99,70,73,Non-Indigenous Community / Communauté non-Autochtone
1007036,Port Blandford,601,77,43,98,75,73,Non-Indigenous Community / Communauté non-Autochtone
1007037,Traytown,267,79,48,94,68,72,Non-Indigenous Community / Communauté non-Autochtone
1007038,"Division No.  7, Subd. D",230,,,,,75,Non-Indigenous Community / Communauté non-Autochtone
1007039,Sandy Cove,122,,,,,64,Non-Indigenous Community / Communauté non-Autochtone
1007040,Terra Nova,73,,,,,78,Non-Indigenous Community / Communauté non-Autochtone
1007041,Happy Adventure,200,,,,,67,Non-Indigenous Community / Communauté non-Autochtone
1007042,Eastport,501,76,52,92,72,73,Non-Indigenous Community / Communauté non-Autochtone
1007043,Sandringham,229,,,,,74,Non-Indigenous Community / Communauté non-Autochtone
1007044,Glovertown,2083,76,56,97,72,75,Non-Indigenous Community / Communauté non-Autochtone
1007045,"Division No.  7, Subd. N",49,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1007046,Salvage,124,,,,,74,Non-Indigenous Community / Communauté non-Autochtone
1007047,Gambo,1978,70,54,93,74,73,Non-Indigenous Community / Communauté non-Autochtone
1007048,St. Brendan's,145,,,,,75,Non-Indigenous Community / Communauté non-Autochtone
1007049,Hare Bay,969,70,43,91,64,67,Non-Indigenous Community / Communauté non-Autochtone
1007050,Centreville-Wareham-Trinity,1147,70,35,97,64,67,Non-Indigenous Community / Communauté non-Autochtone
1007051,"Division No.  7, Subd. B",10,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1007054,Greenspond,266,72,41,99,71,71,Non-Indigenous Community / Communauté non-Autochtone
1007056,"Division No.  7, Subd. A",143,,,,,71,Non-Indigenous Community / Communauté non-Autochtone
1007057,Dover,662,68,33,95,58,64,Non-Indigenous Community / Communauté non-Autochtone
1007060,New-Wes-Valley,2172,75,51,96,78,75,Non-Indigenous Community / Communauté non-Autochtone
1007067,Indian Bay,175,,,,,69,Non-Indigenous Community / Communauté non-Autochtone
1008001,"Division No.  8, Subd. M",130,,,,,72,Non-Indigenous Community / Communauté non-Autochtone
1008004,Lumsden,501,78,52,97,82,77,Non-Indigenous Community / Communauté non-Autochtone
1008006,Musgrave Harbour,990,73,43,97,73,72,Non-Indigenous Community / Communauté non-Autochtone
1008008,"Division No.  8, Subd. L",3060,69,36,96,62,66,Non-Indigenous Community / Communauté non-Autochtone
1008011,Carmanville,740,70,43,94,69,69,Non-Indigenous Community / Communauté non-Autochtone
1008024,Change Islands,208,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1008026,"Division No.  8, Subd. I",216,,,,,65,Non-Indigenous Community / Communauté non-Autochtone
1008029,Crow Head,177,,,,,74,Non-Indigenous Community / Communauté non-Autochtone
1008031,"Division No.  8, Subd. H",1900,65,35,96,63,65,Non-Indigenous Community / Communauté non-Autochtone
1008032,Cottlesville,271,,,,,67,Non-Indigenous Community / Communauté non-Autochtone
1008033,Summerford,906,72,40,93,71,69,Non-Indigenous Community / Communauté non-Autochtone
1008035,Twillingate,2196,75,46,96,75,73,Non-Indigenous Community / Communauté non-Autochtone
1008036,"Division No.  8, Subd. G",433,70,49,99,61,69,Non-Indigenous Community / Communauté non-Autochtone
1008037,Campbellton,452,74,55,95,74,74,Non-Indigenous Community / Communauté non-Autochtone
1008038,Birchy Bay,550,70,42,91,74,69,Non-Indigenous Community / Communauté non-Autochtone
1008039,Comfort Cove-Newstead,407,73,37,98,77,71,Non-Indigenous Community / Communauté non-Autochtone
1008040,Baytona,262,78,48,96,66,72,Non-Indigenous Community / Communauté non-Autochtone
1008042,"Division No.  8, Subd. F",930,69,43,95,67,69,Non-Indigenous Community / Communauté non-Autochtone
1008043,Embree,701,67,51,98,68,71,Non-Indigenous Community / Communauté non-Autochtone
1008044,Lewisporte,3409,75,56,97,78,77,Non-Indigenous Community / Communauté non-Autochtone
1008045,Little Burnt Bay,281,,,,,68,Non-Indigenous Community / Communauté non-Autochtone
1008046,"Division No.  8, Subd. E",548,67,37,95,51,62,Non-Indigenous Community / Communauté non-Autochtone
1008047,Point of Bay,154,,,,,73,Non-Indigenous Community / Communauté non-Autochtone
1008048,Leading Tickles,292,65,40,96,67,67,Non-Indigenous Community / Communauté non-Autochtone
1008049,Point Leamington,591,72,51,92,67,71,Non-Indigenous Community / Communauté non-Autochtone
1008052,"Division No.  8, Subd. D",10,,,,,,Non-Indigenous Community / Communauté non-Autochtone
1008053,Pilley's Island,294,69,30,99,69,67,Non-Indigenous Community / Communauté non-Autochtone
1008054,Triton,983,74,40,99,74,71,Non-Indigenous Community / Communauté non-Autochtone
1008055,Brighton,188,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1008056,Lushes Bight-Beaumont-Beaumont North,168,,,,,66,Non-Indigenous Community / Communauté non-Autochtone
1008058,"Division No.  8, Subd. C",440,73,43,96,51,66,Non-Indigenous Community / Communauté non-Autochtone
1008059,South Brook,482,72,40,90,74,69,Non-Indigenous Community / Communauté non-Autochtone
1008060,Robert's Arm,805,74,44,98,71,72,Non-Indigenous Community / Communauté non-Autochtone
1008061,Springdale,2971,75,51,97,75,74,Non-Indigenous Community / Communauté non-Autochtone
1008062,Port Anson,130,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1008063,Little Bay,105,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1008064,Little Bay Islands,71,,,,,70,Non-Indigenous Community / Communauté non-Autochtone
1008065,"Division No.  8, Subd. P",337,74,37,88,62,65,Non-Indigenous Community / Communauté non-Autochtone
